Video ID number,main entry gloss label,entry/variant gloss label,occurrence label,start frame of video clip containing the sign (relative to full videos),end frame of video clip containing the sign (relative to full videos),start frame of the sign (relative to full videos),end frame of the sign (relative to full videos),Dominant start handshape,Non-dominant start handshape,Dominant end handshape,Non-dominant end handshape,full video file,sign type,Class Label
40141,(1h)GOOD/THANK-YOU+ENOUGH,(1h)GOOD/THANK-YOU+ENOUGH,(1h)GOOD/THANK-YOU+ENOUGH,528,652,578,602,B-L,,B-L,S,ASL_2006_10_10_scene12-camera1.mov,Compound Signs,(1h)GOOD/THANK-YOU+ENOUGH
40142,(1h)GOOD/THANK-YOU+ENOUGH,(1h)GOOD/THANK-YOU+ENOUGH,(1h)GOOD/THANK-YOU+ENOUGH,390,539,440,489,B-L,,B-L,S,ASL_2007_05_24_scene16-camera1.mov,Compound Signs,(1h)GOOD/THANK-YOU+ENOUGH
40143,(1h)GOOD/THANK-YOU+LUCKY,(1h)GOOD/THANK-YOU+LUCKY,(1h)GOOD/THANK-YOU+LUCKY,414,547,464,497,B-L,,25,,ASL_2008_02_01_scene9-camera1.mov,Compound Signs,(1h)GOOD/THANK-YOU+LUCKY
40144,(1h)GOOD/THANK-YOU+LUCKY,(1h)GOOD/THANK-YOU+LUCKY,(1h)GOOD/THANK-YOU+LUCKY,2425,2560,2475,2510,B-L,,25,,ASL_2008_05_29a_scene39-camera1.mov,Compound Signs,(1h)GOOD/THANK-YOU+LUCKY
40145,(1h)GOOD/THANK-YOU+LUCKY,(1h)GOOD/THANK-YOU+LUCKY,(1h)GOOD/THANK-YOU+LUCKY,209,332,259,282,B-L,,25,,ASL_2008_08_13_scene8-camera1.mov,Compound Signs,(1h)GOOD/THANK-YOU+LUCKY
39034,(1h)GOOD/THANK-YOU+MORNING,(1h)GOOD/THANK-YOU+MORNING,(1h)GOOD/THANK-YOU+MORNING,622,760,672,710,B-L,,B-L,B-L,ASL_2008_02_01_scene9-camera1.mov,Compound Signs,(1h)GOOD/THANK-YOU+MORNING
39035,(1h)GOOD/THANK-YOU+NIGHT,(1h)GOOD/THANK-YOU+NIGHT,(1h)GOOD/THANK-YOU+NIGHT,1057,1196,1107,1146,bent-B-L,,bent-B-L,psv,ASL_2008_02_01_scene9-camera1.mov,Compound Signs,(1h)GOOD/THANK-YOU+NIGHT
39036,(1h)GOOD/THANK-YOU+NIGHT,(1h)GOOD/THANK-YOU+NIGHT,(1h)GOOD/THANK-YOU+NIGHT,1110,1240,1160,1190,bent-B-L,,bent-B-L,B-L,ASL_2008_08_13_scene8-camera1.mov,Compound Signs,(1h)GOOD/THANK-YOU+NIGHT
39038,(1h)HAIRCUT+AGENT,(1h)HAIRCUT+AGENT,(1h)HAIRCUT++AGENT,475,638,525,588,V,,B-L,B-L,ASL_2008_01_11_scene32-camera1.mov,Compound Signs,(1h)HAIRCUT+AGENT
39040,(1h)HAMMER+AGENT,(1h)HAMMER+AGENT,(1h)HAMMER+AGENT,7310,7447,7360,7397,X-over-thumb,,B-L,B-L,ASL_2011_06_14_Brady_scene43-camera1.mov,Compound Signs,(1h)HAMMER+AGENT
39044,(1h)HAPPY+(1h)MOST,(1h)HAPPY+(1h)MOST,(1h)HAPPY+(1h)MOST,2635,2775,2685,2725,B-L,,10,,ASL_2008_02_15_scene46-camera1.mov,Compound Signs,(1h)HAPPY+(1h)MOST
39045,(1h)HAPPY+NEW+YEAR,(1h)HAPPY+NEW+YEAR,(1h)HAPPY++NEW+YEAR,1866,2045,1916,1995,B-L,,S,S,ASL_2011_07_22_Brady_scene51-camera1.mov,Compound Signs,(1h)HAPPY+NEW+YEAR
39046,(1h)HAPPY+NEW+YEAR,(1h)HAPPY+NEW+YEAR,(1h)HAPPY++NEW+YEAR,628,800,678,750,B-L,,S,S,ASL_2011_07_19_Brady_scene69-camera1.mov,Compound Signs,(1h)HAPPY+NEW+YEAR
39071,(2h)alt.FIRE+PLACE,(2h)alt.FIRE+PLACE,(2h)alt.FIRE+PLACE,7141,7285,7191,7235,5,5,K,K,ASL_2011_06_14_Brady_scene18-camera1.mov,Compound Signs,(2h)alt.FIRE+PLACE
39073,(2h)alt.HAIRCUT+AGENT,(2h)alt.HAIRCUT+AGENT,(2h)alt.HAIRCUT+AGENT,3568,3701,3618,3651,V,V,B-L,B-L,ASL_2011_06_14_Brady_scene2-camera1.mov,Compound Signs,(2h)alt.HAIRCUT+AGENT
39077,(2h)DRIBBLE+SHOOT-BASKET,(2h)DRIBBLE+SHOOT-BASKET,(2h)DRIBBLE++SHOOT-BASKET,24550,24693,24600,24643,5,5,crvd-5,crvd-5,ASL_2011_06_08_Brady_scene22-camera1.mov,Compound Signs,(2h)DRIBBLE+SHOOT-BASKET
39081,"(2h)HORSE+ICL:S\holding moving pole\""""","(2h)HORSE+ICL:S\holding moving pole\""""","(2h)HORSE++ICL:S\holding moving pole\""+""",4670,4853,4720,4803,U-L,U-L,S,S,ASL_2008_06_10_scene12-camera1.mov,Compound Signs,"(2h)HORSE+ICL:S\holding moving pole\"""""
404,(5)FOOT,(5)FEET,(5)FEET,1160,1320,1210,1270,5,5,5,5,ASL_2008_05_29a_scene20-camera1.mov,Lexical Signs,(5)FOOT
405,(5)FOOT,(5)FOOT,(5)FOOT,1595,1736,1645,1686,5,,5,,ASL_2008_05_29a_scene26-camera1.mov,Lexical Signs,(5)FOOT
414,(5)WEATHER,(5)WEATHER,(5)WEATHER,2855,2985,2905,2935,5,5,5,5,ASL_2008_03_28_scene37-camera1.mov,Lexical Signs,(5)WEATHER
415,(5)WEATHER,(5)WEATHER,(5)WEATHER,731,863,781,813,5,5,5,5,ASL_2011_07_22_Brady_scene26-camera1.mov,Lexical Signs,(5)WEATHER
431,(A)ns-AFRICA,(A)ns-AFRICA,(A)ns-AFRICA,1331,1495,1381,1445,A,,A,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene8-camera1.mov,Lexical Signs,(A)ns-AFRICA
432,(A)ns-AFRICA,(A)ns-AFRICA,(A)ns-AFRICA,2230,2375,2280,2325,A,,A,,ASL_2008_08_04_scene6-camera1.mov,Lexical Signs,(A)ns-AFRICA
444,(B-L)NAPKIN,(B-L)NAPKIN,(B-L)NAPKIN+,272,427,322,377,B-L,,B-L,,ASL_2008_02_15_scene15-camera1.mov,Lexical Signs,(B-L)NAPKIN
441,(B)BLINDS,(B)BLINDS,(B)BLINDS,625,775,675,725,crvd-flat-B,crvd-flat-B,crvd-flat-B,crvd-flat-B,ASL_2008_01_11_scene46-camera1.mov,Lexical Signs,(B)BLINDS
457,(C)VOMIT,(C)VOMIT,(C)VOMIT,2537,2657,2587,2607,C,,C,,ASL_2011_07_22_Brady_scene21-camera1.mov,Lexical Signs,(C)VOMIT
458,(cheek)BLIND,(cheek)BLIND,(cheek)BLIND,406,545,456,495,crvd-V,,crvd-V,,ASL_2008_01_11_scene46-camera1.mov,Lexical Signs,(cheek)BLIND
459,(cheek)BLIND,(cheek)BLIND,(cheek)BLIND,2845,2967,2895,2917,crvd-V,,crvd-V,,ASL_2008_08_04_scene29-camera1.mov,Lexical Signs,(cheek)BLIND
460,(cocked-8)FOOL,(cocked-8)FOOL,(cocked-8)FOOL,6505,6630,6555,6580,cocked-8,,5,,ASL_2008_05_29a_scene25-camera1.mov,Lexical Signs,(cocked-8)FOOL
495,(E)E-MAIL,(E)E-MAIL,(E)E-MAIL,2376,2505,2426,2455,E,1,E,1,ASL_2008_01_18_scene26-camera1.mov,Lexical Signs,(E)E-MAIL
496,(E)E-MAIL,(E)E-MAIL,(E)E-MAIL,2805,2921,2855,2871,E,1,E,1,ASL_2011_06_14_Brady_scene9-camera1.mov,Lexical Signs,(E)E-MAIL
522,(G)THANKSGIVING,(G)THANKSGIVING,(G)THANKSGIVING,71,225,121,175,G,,G,,ASL_2008_03_28_scene9-camera1.mov,Lexical Signs,(G)THANKSGIVING
538,(K)KITCHEN,(K)KITCHEN,(K)KITCHEN,2640,2785,2690,2735,K,B-L,K,B-L,ASL_2008_02_01_scene41-camera1.mov,Lexical Signs,(K)KITCHEN
540,(K)KITCHEN,(K)KITCHEN,(K)KITCHEN,4425,4557,4475,4507,K,B-L,K,B-L,ASL_2008_08_13_scene34-camera1.mov,Lexical Signs,(K)KITCHEN
207954,(K)KITCHEN,(K)KITCHEN,(K)KITCHEN,2476,2604,2526,2554,K,B-L,K,B-L,ASL_2011_06_14_Brady_scene45-camera1.mov,Lexical Signs,(K)KITCHEN
539,(K)KITCHEN,(K)KITCHEN,(K)KITCHEN+,2270,2420,2320,2370,K,B-L,K,B-L,ASL_2008_05_29b_scene14-camera1.mov,Lexical Signs,(K)KITCHEN
555,(L-X)INTERESTING,(L-X)INTERESTING,(L-X)INTERESTING,605,742,655,692,L-X,crvd-B,X-over-thumb,X-over-thumb,ASL_2008_02_01_scene34-camera1.mov,Lexical Signs,(L-X)INTERESTING
556,(L-X)INTERESTING,(L-X)INTERESTING,(L-X)INTERESTING,235,360,285,310,L-X,L-X,A,A,ASL_2008_05_29b_scene8-camera1.mov,Lexical Signs,(L-X)INTERESTING
557,(L-X)INTERESTING,(L-X)INTERESTING,(L-X)INTERESTING,203,316,253,266,L-X,L-X,X-over-thumb,X-over-thumb,ASL_2008_08_13_scene28-camera1.mov,Lexical Signs,(L-X)INTERESTING
558,(L-X)INTERESTING,(L-X)INTERESTING,(L-X)INTERESTING,1139,1257,1189,1207,L-X,L-X,A,A,ASL_2011_06_14_Brady_scene41-camera1.mov,Lexical Signs,(L-X)INTERESTING
559,(L-X)THICK,(L-X)THICK,(L-X)THICK,2365,2507,2415,2457,L-X,,L-X,,ASL_2008_03_28_scene10-camera1.mov,Lexical Signs,(L-X)THICK
207912,(L-X)THICK,(L-X)THICK,(L-X)THICK,1797,1914,1847,1864,L-X,,L-X,,ASL_2011_07_19_Brady_scene114-camera1.mov,Lexical Signs,(L-X)THICK
544,(L)LEATHER,(L)LEATHER,(L)LEATHER+,960,1110,1010,1060,L,,L,,ASL_2008_02_01_scene45-camera1.mov,Lexical Signs,(L)LEATHER
545,(L)LEATHER,(L)LEATHER,(L)LEATHER+,815,952,865,902,L,,L,,ASL_2008_08_13_session2_scene1-camera1.mov,Lexical Signs,(L)LEATHER
546,(L)LEATHER,(L)LEATHER,(L)LEATHER++,421,575,471,525,L,,crvd-L,,ASL_2008_05_29b_scene18-camera1.mov,Lexical Signs,(L)LEATHER
547,(L)LEATHER,(L)LEATHER,(L)LEATHER++,4146,4290,4196,4240,L,,L,,ASL_2011_06_14_Brady_scene47-camera1.mov,Lexical Signs,(L)LEATHER
39116,(L)LIVE+BOX/ROOM,(L)LIVE+BOX/ROOM,(L)LIVE+BOX/ROOM,1895,2043,1945,1993,L,L,B-L,B-L,ASL_2008_06_10_scene3-camera1.mov,Compound Signs,(L)LIVE+BOX/ROOM
39117,(L)LIVE+BOX/ROOM,(L)LIVE+BOX/ROOM,(L)LIVE+BOX/ROOM,3524,3650,3574,3600,L,L,B-L,B-L,ASL_2011_06_14_Brady_scene50-camera1.mov,Compound Signs,(L)LIVE+BOX/ROOM
553,(L)RIFLE,(L)RIFLE,(L)RIFLE,1506,1645,1556,1595,L,L,L,L,ASL_2008_02_29_scene15-camera1.mov,Lexical Signs,(L)RIFLE
566,(M)ns-MEXICO,(M)ns-MEXICO,(M)ns-MEXICO,4254,4382,4304,4332,full-M,,full-M,,ASL_2011_06_14_Brady_scene56-camera1.mov,Lexical Signs,(M)ns-MEXICO
606,(P)PARANOID,(P)PARANOID,(P)PARANOID,453,592,503,542,K,K,K,K,ASL_2008_02_15_scene31-camera1.mov,Lexical Signs,(P)PARANOID
607,(P)PARANOID,(P)PARANOID,(P)PARANOID,203,333,253,283,K,K,K,K,ASL_2011_07_19_Brady_scene26-camera1.mov,Lexical Signs,(P)PARANOID
608,(P)PARTICIPATE,(P)PARTICIPATE,(P)PARTICIPATE,2337,2484,2387,2434,K,C,K,C,ASL_2008_02_15_scene31-camera1.mov,Lexical Signs,(P)PARTICIPATE
611,(P)PENIS,(P)PENIS,(P)PENIS+,3625,3756,3675,3706,K,,K,,ASL_2008_02_15_scene34-camera1.mov,Lexical Signs,(P)PENIS
619,(R)BEST-FRIEND,(R)BEST-FRIEND,(R)BEST-FRIEND,2060,2195,2110,2145,R,,R,,ASL_2008_05_29a_scene39-camera1.mov,Lexical Signs,(R)BEST-FRIEND
620,(R)BEST-FRIEND,(R)BEST-FRIEND,(R)BEST-FRIEND,3836,3951,3886,3901,R,,R,,ASL_2011_06_14_Brady_scene27-camera1.mov,Lexical Signs,(R)BEST-FRIEND
654,(S)BOMB,(S)BOMB,(S)BOMB,211,340,261,290,S,S,S,S,ASL_2008_01_11_scene50-camera1.mov,Lexical Signs,(S)BOMB
655,(S)BOMB,(S)BOMB,(S)BOMB,1098,1227,1148,1177,S,S,S,S,ASL_2008_08_04_scene32-camera1.mov,Lexical Signs,(S)BOMB
656,(S)BOMB,(S)BOMB_2,(S)BOMB_2,12526,12657,12576,12607,S,S,S,S,ASL_2011_06_08_Brady_scene22-camera1.mov,Lexical Signs,(S)BOMB
658,(S)BROOM,(S)BROOM,(S)BROOM,1420,1580,1470,1530,S,S,S,S,ASL_2008_01_11_scene56-camera1.mov,Lexical Signs,(S)BROOM
207669,(S)BROOM,(S)BROOM,(S)BROOM,992,1143,1042,1093,S,S,S,S,ASL_2008_08_04_scene36-camera1.mov,Lexical Signs,(S)BROOM
207670,(S)BROOM,(S)BROOM,(S)BROOM,10964,11126,11014,11076,S,S,S,S,ASL_2011_06_08_Brady_scene23-camera1.mov,Lexical Signs,(S)BROOM
659,(S)BROOM,(S)BROOM,(S)BROOM+,970,1125,1020,1075,S,S,S,S,ASL_2008_05_12a_scene35-camera1.mov,Lexical Signs,(S)BROOM
666,(S)KETCHUP,(S)KETCHUP,(S)KETCHUP+,550,715,600,665,5,S,5,S,ASL_2008_02_01_scene40-camera1.mov,Lexical Signs,(S)KETCHUP
667,(S)KETCHUP,(S)KETCHUP,(S)KETCHUP+,2062,2202,2112,2152,5,S,5,S,ASL_2008_08_13_scene33-camera1.mov,Lexical Signs,(S)KETCHUP
668,(S)KETCHUP,(S)KETCHUP,(S)KETCHUP+,4145,4273,4195,4223,B-L,O,B-L,O,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,(S)KETCHUP
669,(S)KETCHUP,(S)KETCHUP,(S)KETCHUP++,1505,1660,1555,1610,5,S,5,S,ASL_2008_05_29b_scene13-camera1.mov,Lexical Signs,(S)KETCHUP
670,(S)MOSQUITO,(S)MOSQUITO,(S)MOSQUITO+,2860,3020,2910,2970,S,S,S,S,ASL_2008_02_15_scene10-camera1.mov,Lexical Signs,(S)MOSQUITO
671,(S)MOSQUITO,(S)MOSQUITO,(S)MOSQUITO+,2137,2287,2187,2237,S,S,S,S,ASL_2008_06_10_scene19-camera1.mov,Lexical Signs,(S)MOSQUITO
672,(S)MOSQUITO,(S)MOSQUITO,(S)MOSQUITO+,753,900,803,850,S,S,S,S,ASL_2011_07_19_Brady_scene6-camera1.mov,Lexical Signs,(S)MOSQUITO
39138,(S)OLD+AVERAGE,(S)OLD+AVERAGE,(S)OLD++AVERAGE,1694,1873,1744,1823,S,,B-L,B-L,ASL_2008_02_29_scene6-camera1.mov,Compound Signs,(S)OLD+AVERAGE
675,(S)PURSE,(S)PURSE,(S)PURSE+,4427,4567,4477,4517,S,,S,,ASL_2011_07_19_Brady_scene47-camera1.mov,Lexical Signs,(S)PURSE
678,(U)BOWTIE,(U)BOWTIE,(U)BOWTIE,960,1095,1010,1045,cocked-U,cocked-U,U,U,ASL_2008_01_11_scene52-camera1.mov,Lexical Signs,(U)BOWTIE
679,(U)BOWTIE,(U)BOWTIE,(U)BOWTIE,2005,2140,2055,2090,cocked-U,cocked-U,U,U,ASL_2008_02_29_scene14-camera1.mov,Lexical Signs,(U)BOWTIE
680,(U)BOWTIE,(U)BOWTIE,(U)BOWTIE,1955,2091,2005,2041,cocked-U,cocked-U,U,U,ASL_2008_03_28_scene25-camera1.mov,Lexical Signs,(U)BOWTIE
681,(U)BOWTIE,(U)BOWTIE,(U)BOWTIE,1730,1871,1780,1821,cocked-U,cocked-U,U,U,ASL_2008_05_12a_scene32-camera1.mov,Lexical Signs,(U)BOWTIE
682,(U)BOWTIE,(U)BOWTIE,(U)BOWTIE,2687,2810,2737,2760,cocked-U,cocked-U,U,U,ASL_2008_08_04_scene33-camera1.mov,Lexical Signs,(U)BOWTIE
683,(U)BOWTIE,(U)BOWTIE,(U)BOWTIE,26498,26614,26548,26564,S,S,U,U,ASL_2011_06_08_Brady_scene22-camera1.mov,Lexical Signs,(U)BOWTIE
684,(U)BOWTIE,(U)BOWTIE,(U)BOWTIE,2945,3061,2995,3011,S,S,U,U,ASL_2011_07_19_Brady_scene59-camera1.mov,Lexical Signs,(U)BOWTIE
685,(U)BOWTIE,(U)BOWTIE,(U)BOWTIE,3521,3634,3571,3584,S,S,U,U,ASL_2011_07_19_Brady_scene59-camera1.mov,Lexical Signs,(U)BOWTIE
686,(U)BOWTIE,(U)BOWTIE,(U)BOWTIE,2916,3043,2966,2993,cocked-U,cocked-U,U,U,ASL_2011_07_22_Brady_scene13-camera1.mov,Lexical Signs,(U)BOWTIE
687,(U)BOWTIE,(U)BOWTIE,(U)BOWTIE,1160,1284,1210,1234,cocked-U,cocked-U,U,U,ASL_2011_07_22_Brady_scene56-camera1.mov,Lexical Signs,(U)BOWTIE
701,(V)CRAWL,(V)CRAWL,(V)CRAWL,720,945,770,895,V,B-L,crvd-V,B-L,ASL_2008_01_18_scene8-camera1.mov,Lexical Signs,(V)CRAWL
702,(V)CRAWL,(V)CRAWL,(V)CRAWL,485,615,535,565,V,B-L,crvd-V,B-L,ASL_2008_08_06_scene8-camera1.mov,Lexical Signs,(V)CRAWL
716,(X)FOOL/DOLL,(X)FOOL/DOLL,(X)FOOL/DOLL,2016,2145,2066,2095,X,,X,,ASL_2008_01_18_scene46-camera1.mov,Lexical Signs,(X)FOOL/DOLL
207956,(X)FOOL/DOLL,(X)FOOL/DOLL,(X)FOOL/DOLL,1940,2055,1990,2005,X,,X,,ASL_2008_08_06_scene46-camera1.mov,Lexical Signs,(X)FOOL/DOLL
207957,(X)FOOL/DOLL,(X)FOOL/DOLL,(X)FOOL/DOLL,2127,2250,2177,2200,X,,X,,ASL_2011_06_14_Brady_scene21-camera1.mov,Lexical Signs,(X)FOOL/DOLL
718,(X)FOOL/DOLL,(X)FOOL/DOLL,(X)FOOL/DOLL+,1235,1375,1285,1325,X,,X,,ASL_2008_01_18_scene21-camera1.mov,Lexical Signs,(X)FOOL/DOLL
719,(X)FOOL/DOLL,(X)FOOL/DOLL,(X)FOOL/DOLL+,1930,2057,1980,2007,X,,X,,ASL_2008_08_06_scene21-camera1.mov,Lexical Signs,(X)FOOL/DOLL
720,(X)FOOL/DOLL,(X)FOOL/DOLL,(X)FOOL/DOLL+,984,1111,1034,1061,X,,X,,ASL_2011_06_08_Brady_scene37-camera1.mov,Lexical Signs,(X)FOOL/DOLL
721,(X)FOOL/DOLL,(X)FOOL/DOLL,(X)FOOL/DOLL++,4090,4235,4140,4185,X,,X,,ASL_2008_05_29a_scene1-camera1.mov,Lexical Signs,(X)FOOL/DOLL
39152,(X)FOOL/DOLL+(D)DAY,(X)FOOL/DOLL+(D)DAY,(X)FOOL/DOLL+(D)DAY,1015,1175,1065,1125,X,,D,psv,ASL_2008_01_11_scene20-camera1.mov,Compound Signs,(X)FOOL/DOLL+DAY
39153,(X)FOOL/DOLL+(D)DAY,(X)FOOL/DOLL+(D)DAY,(X)FOOL/DOLL++(D)DAY,10802,10951,10852,10901,X,,D,psv,ASL_2011_06_08_Brady_scene12-camera1.mov,Compound Signs,(X)FOOL/DOLL+DAY
729,(Y)BATHING-SUIT,(Y)BATHING-SUIT,(Y)BATHING-SUIT,3675,3835,3725,3785,Y,Y,Y,Y,ASL_2008_03_28_scene2-camera1.mov,Lexical Signs,(Y)BATHING-SUIT
730,(Y)BATHING-SUIT,(Y)BATHING-SUIT,(Y)BATHING-SUIT,96,260,146,210,Y,Y,Y,Y,ASL_2010_08_10_Liz_additional_lexicon_signs_scene9-camera1.mov,Lexical Signs,(Y)BATHING-SUIT
731,(Y)BULL,(Y)BULL,(Y)BULL,250,365,300,315,Y,,Y,,ASL_2008_01_11_scene59-camera1.mov,Lexical Signs,(Y)BULL
732,(Y)BULL,(Y)BULL,(Y)BULL,2337,2460,2387,2410,Y,,Y,,ASL_2008_05_12a_scene36-camera1.mov,Lexical Signs,(Y)BULL
733,(Y)BULL,(Y)BULL,(Y)BULL,2330,2448,2380,2398,Y,,Y,,ASL_2008_08_04_scene37-camera1.mov,Lexical Signs,(Y)BULL
734,(Y)BULL,(Y)BULL,(Y)BULL,5097,5225,5147,5175,Y,,Y,,ASL_2011_06_08_Brady_scene24-camera1.mov,Lexical Signs,(Y)BULL
8822,"\WHAT\""""","\WHAT\""""","\WHAT\""""",2435,2570,2485,2520,5,5,5,5,ASL_2008_03_28_scene38-camera1.mov,Lexical Signs,"\WHAT\"""""
8823,"\WHAT\""""","\WHAT\""""","\WHAT\""""",1634,1782,1684,1732,5,5,5,5,ASL_2008_03_28_scene39-camera1.mov,Lexical Signs,"\WHAT\"""""
3,"\WHAT\""""","\WHAT\""""","\WHAT\""++""",3234,3368,3284,3318,5,5,5,5,ASL_2006_01_20_scene22-camera1.mov,Lexical Signs,"\WHAT\"""""
4,"\WHAT\""""","\WHAT\""""","\WHAT\""++""",850,981,900,931,5,5,5,5,ASL_2011_07_22_Brady_scene27-camera1.mov,Lexical Signs,"\WHAT\"""""
5,#AC,#AC,#AC,3235,3375,3285,3325,A,,C,,ASL_2008_01_11_scene4-camera1.mov,Loan Signs,#AC
6,#AC,#AC,#AC,1945,2085,1995,2035,A,,C,,ASL_2008_05_12a_scene3-camera1.mov,Loan Signs,#AC
7,#AC,#AC,#AC,2332,2450,2382,2400,A,,C,,ASL_2008_08_04_scene3-camera1.mov,Loan Signs,#AC
8,#AC,#AC,#AC,282,403,332,353,A,,C,,ASL_2011_07_22_Brady_scene37-camera1.mov,Loan Signs,#AC
9,#ALL,#ALL,#ALL,225,350,275,300,A,,L,,ASL_2008_01_11_scene12-camera1.mov,Loan Signs,#ALL
10,#ALL,#ALL,#ALL,2492,2620,2542,2570,A,,L,,ASL_2008_05_12a_scene9-camera1.mov,Loan Signs,#ALL
11,#ALL,#ALL,#ALL,2872,2992,2922,2942,A,,L,,ASL_2008_08_04_scene8-camera1.mov,Loan Signs,#ALL
12,#ALL,#ALL,#ALL,7788,7907,7838,7857,A,,L,,ASL_2011_06_08_Brady_scene10-camera1.mov,Loan Signs,#ALL
13,#ALL,#ALL,#ALL,400,538,450,488,A,,L,,ASL_2007_05_24_scene5-camera1.mov,Loan Signs,#ALL
14,#ALL,#ALL_2,#ALL_2,346,466,396,416,A,,L,,ASL_2006_10_10_scene2-camera1.mov,Loan Signs,#ALL
15,#ASL,#ASL,#ASL,630,755,680,705,A,,L,,ASL_2008_01_11_scene23-camera1.mov,Loan Signs,#ASL
16,#ASL,#ASL,#ASL,2902,3050,2952,3000,A,,L,,ASL_2008_05_12a_scene10-camera1.mov,Loan Signs,#ASL
17,#ASL,#ASL,#ASL,2581,2716,2631,2666,A,,L,,ASL_2008_05_12a_scene15-camera1.mov,Loan Signs,#ASL
18,#ASL,#ASL,#ASL,2361,2480,2411,2430,A,,L,,ASL_2008_08_04_scene15-camera1.mov,Loan Signs,#ASL
19,#ASL,#ASL,#ASL,6086,6210,6136,6160,A,,L,,ASL_2011_06_08_Brady_scene11-camera1.mov,Loan Signs,#ASL
20,#ASL,#ASL,#ASL,7916,8035,7966,7985,A,,L,,ASL_2011_06_08_Brady_scene13-camera1.mov,Loan Signs,#ASL
272,#BACK,(2h)#BACK_2,(2h)#BACK_2,675,820,725,770,B-xd,B-xd,K,K,ASL_2008_01_11_scene28-camera1.mov,Loan Signs,#BACK
273,#BACK,(2h)#BACK_2,(2h)#BACK_2,2244,2369,2294,2319,B-L,B-L,3,3,ASL_2011_06_08_Brady_scene15-camera1.mov,Loan Signs,#BACK
21,#BACK,#BACK,#BACK,1086,1221,1136,1171,B,,K,,ASL_2008_01_11_scene28-camera1.mov,Loan Signs,#BACK
22,#BACK,#BACK,#BACK,3885,4002,3935,3952,S,,K,,ASL_2008_05_12a_scene18-camera1.mov,Loan Signs,#BACK
23,#BACK,#BACK,#BACK,1168,1296,1218,1246,flat-B,,3,,ASL_2011_06_08_Brady_scene15-camera1.mov,Loan Signs,#BACK
24,#BACK,#BACK_2,#BACK_2,2673,2785,2723,2735,B,,K,,ASL_2008_08_04_scene18-camera1.mov,Loan Signs,#BACK
25,#BBQ,#BBQ,#BBQ,1090,1238,1140,1188,B,,G,,ASL_2010_08_10_Liz_additional_lexicon_signs_scene24-camera1.mov,Loan Signs,#BBQ
